Domain,IP,User Name,Email,Start Date,Disk Partition,Quota,Disk Space Used,Package,Theme,Owner,Server,Unix Startdate,Disk Space Used (bytes),Quota (bytes),Is Suspended, Suspension Date, Suspension Locked, Suspension Reason, Upgrade Opportunities
autosulveiculos.net,162.214.206.251,autosul,assistencia@litoralcar.com.br,2021-02-03 14:16,home,1000,102,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612372563,104816,1024000,,,,,
autosulveiculossc.com.br,162.214.206.251,autosulv,assistencia@litoralcar.com.br,2014-11-24 11:11,home,800,279,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1416834712,286209,819200,,,,,
autowapimultimarcas.com.br,162.214.206.251,autow792,assistencia@litoralcar.com.br,2023-01-09 11:47,home,1000,76,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1673275630,77852,1024000,,,,,
avsveiculos.com.br,162.214.206.251,avsveiculoscom,assistencia@litoralcar.com.br,2020-04-08 11:01,home,2500,2237,crici470_5GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1586354484,2291027,2560000,,,,,This account has used 89% of its disk quota.
benjaautomoveis.com.br,162.214.206.251,benja,assistencia@litoralcar.com.br,2021-02-04 13:50,home,1000,337,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612457451,345673,1024000,,,,,
bestcarautomoveis.com,162.214.206.251,bestc968,assistencia@litoralcar.com.br,2022-10-17 15:53,home,500,37,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1666032793,38829,512000,,,,,
brusvel.com.br,162.214.206.251,brusv711,assistencia@litoralcar.com.br,2022-10-04 14:04,home,500,77,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1664903069,79787,512000,,,,,
brusvelveiculos.com.br,162.214.206.251,brusv340,assistencia@litoralcar.com.br,2022-10-17 15:01,home,500,7,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1666029709,8160,512000,,,,,
bwautomoveis.com.br,162.214.206.251,bwaut670,assistencia@litoralcar.com.br,2021-09-15 08:15,home,500,56,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1631704534,57637,512000,,,,,
carangasveiculos.com.br,162.214.206.251,caran999,assistencia@litoralcar.com.br,2022-08-31 10:41,home,1000,61,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1661953317,62636,1024000,,,,,
carimbosmundial.com.br,162.214.206.251,carimbos,assistencia@litoralcar.com.br,2021-02-19 13:40,home,1000,399,Reseller Example,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1613752854,408692,1024000,,,,,
carroforteveiculos.com.br,162.214.206.251,carroforteveicul,assistencia@litoralcar.com.br,2021-01-27 16:25,home,2000,1354,crici470_5GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1611775514,1386896,2048000,,,,,
carvalhojoalheria.com.br,162.214.206.251,carvalhoj,assistencia@litoralcar.com.br,2021-07-20 13:37,home,500,125,crici470_500MB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1626799044,128059,512000,,,,,
centermultimarcassc.com.br,162.214.206.251,cente608,assistencia@litoralcar.com.br,2023-01-19 14:01,home,1000,67,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1674147686,69185,1024000,,,,,
cervicomercio.com.br,162.214.206.251,cervi486,assistencia@litoralcar.com.br,2021-09-22 09:57,home,250,68,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1632315423,69668,256000,,,,,
conecttcarmultimarcas.com.br,162.214.206.251,conecttcarmultim,assistencia@litoralcar.com.br,2020-03-03 09:42,home,1000,97,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1583239326,99736,1024000,,,,,This account used 87% of its bandwidth quota last month.
cordeiroautomoveis.com.br,162.214.206.251,corde823,assistencia@litoralcar.com.br,2022-09-05 11:00,home,1000,248,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1662386436,254046,1024000,,,,,
criciumaautos.com.br,162.214.206.251,crici470,registro@litoralcar.com.br,2013-09-11 10:04,home,800,171,root_REV1,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1378904667,175346,819200,,,,,
criciumaveiculos.com.br,162.214.206.251,cricivei,assistencia@litoralcar.com.br,2014-03-26 08:14,home,50,30,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1395832496,31420,51200,,,,,
deliverypersianas.com.br,162.214.206.251,deliveryp,assistencia@litoralcar.com.br,2020-03-31 15:24,home,500,16,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1585679060,16660,512000,,,,,
divelmultimarcas.com.br,162.214.206.251,divelmul,assistencia@litoralcar.com.br,2015-01-12 16:24,home,111,36,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1421087040,37132,113664,,,,,
dmmultmarcas.com.br,162.214.206.251,dmmultmarcascom,assistencia@litoralcar.com.br,2020-03-31 13:40,home,1000,67,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1585672807,68795,1024000,,,,,
dossmultimarcas.com.br,162.214.206.251,dossm887,assistencia@litoralcar.com.br,2023-03-14 08:14,home,1000,75,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1678792496,76831,1024000,,,,,
ducarros.com.br,162.214.206.251,ducar997,assistencia@litoralcar.com.br,2021-04-08 14:57,home,500,34,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1617904667,35441,512000,,,,,
edecarveiculos.com.br,162.214.206.251,edeca455,assistencia@litoralcar.com.br,2021-03-02 10:00,home,500,82,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1614690018,84297,512000,,,,,
edermotosbrusque.com.br,162.214.206.251,ederm179,assistencia@litoralcar.com.br,2023-03-21 17:17,home,500,40,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1679429843,41810,512000,,,,,
efetivapremium.com.br,162.214.206.251,efeti781,assistencia@litoralcar.com.br,2022-08-19 13:30,home,500,8,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1660926600,9108,512000,1,2023-10-25 09:33,,Cliente solicitou,
efetivaselect.com.br,162.214.206.251,efeti318,assistencia@litoralcar.com.br,2022-08-19 14:04,home,500,9,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1660928654,9460,512000,1,2023-10-25 09:34,,Cliente solicitou,
emailslitoralcar.com.br,162.214.206.251,emails,assistencia@litoralcar.com.br,2018-11-08 08:57,home,500,390,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1541674661,399432,512000,,,,,This account has used 78% of its disk quota.
flabicar.com.br,162.214.206.251,flabicarcom,assistencia@litoralcar.com.br,2021-01-29 20:59,home,10000,5043,crici470_10GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1611964781,5164690,10240000,,,,,This account has reached the fixed block count 5120000.
flammaautomoveis.com.br,162.214.206.251,flammaautomoveis,assistencia@litoralcar.com.br,2021-07-22 13:43,home,2000,1588,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1626972189,1626112,2048000,,,,,This account has used 79% of its disk quota.
gmmultimarcasph.com.br,162.214.206.251,gmmul325,assistencia@litoralcar.com.br,2023-03-23 09:18,home,500,47,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1679573899,49051,512000,,,,,
grancarmultimarcasbn.com.br,162.214.206.251,granc927,assistencia@litoralcar.com.br,2021-02-22 10:47,home,1000,82,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1614001679,84816,1024000,,,,,
grupo101veiculos.com.br,162.214.206.251,grupo101,assistencia@litoralcar.com.br,2018-07-05 10:46,home,6000,4714,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1530798397,4827776,6144000,,,,,This account has used 79% of its disk quota. This account has used 94% of the block count (5120000).
gruposampaveiculos.com.br,162.214.206.251,grupo973,assistencia@litoralcar.com.br,2022-09-08 13:24,home,1000,74,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1662654248,76080,1024000,,,,,
guiveiculos.joinville.br,162.214.206.251,guive287,assistencia@litoralcar.com.br,2021-03-23 13:33,home,1000,320,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1616517238,327969,1024000,,,,,
gustavoautomoveisitj.com.br,162.214.206.251,gusta541,assistencia@litoralcar.com.br,2022-10-17 14:16,home,500,34,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1666027003,35278,512000,,,,,
hagataveiculos.com.br,162.214.206.251,hagataveiculosco,assistencia@litoralcar.com.br,2021-02-03 13:52,home,250,164,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612371171,167979,256000,,,,,
hamadautomoveis.com.br,162.214.206.251,hamad448,assistencia@litoralcar.com.br,2022-11-25 10:17,home,500,50,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1669382257,52162,512000,,,,,
hotelbeirariobrusque.com.br,162.214.206.251,hotelbei,assistencia@litoralcar.com.br,2021-08-10 13:44,home,1500,894,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1628613887,916061,1536000,,,,,This account exceeded its bandwidth quota last month.
idealmultimarca.com.br,162.214.206.251,idealmultimarcac,assistencia@litoralcar.com.br,2021-01-28 14:03,home,1000,209,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1611853416,214499,1024000,,,,,
igautomoveis.com,162.214.206.251,igaut331,assistencia@litoralcar.com.br,2022-08-17 14:12,home,1000,85,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1660756367,87654,1024000,,,,,
in9vearquitetura.com.br,162.214.206.251,in9ve,assistencia@litoralcar.com.br,2021-01-18 16:17,home,1000,130,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1610997468,133992,1024000,,,,,
investcarauto.com.br,162.214.206.251,inves518,assistencia@litoralcar.com.br,2020-10-28 09:33,home,500,58,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1603888380,59592,512000,1,2023-11-01 11:21,,Financeiro,
ipirangacar.com.br,162.214.206.251,ipirangacarcom,assistencia@litoralcar.com.br,2020-01-30 09:14,home,500,60,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1580386442,61775,512000,,,,,
isanmotors.com.br,162.214.206.251,isanmot,assistencia@litoralcar.com.br,2020-03-24 09:08,home,800,115,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1585051736,118691,819200,,,,,
ismaelsilva.dev.br,162.214.206.251,ismaelsilva,,2023-04-18 15:20,home,unlimited,49,default,jupiter,root,dedi-10414352.criciumaautos.com.br,1681842050,51160,,,,,,
jairoconsultor.com.br,162.214.206.251,jairo282,assistencia@litoralcar.com.br,2022-10-04 09:27,home,1000,70,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1664886471,72053,1024000,,,,,
jbcarros.com.br,162.214.206.251,jbcar820,assistencia@litoralcar.com.br,2022-10-26 15:06,home,500,43,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1666807604,44692,512000,,,,,This account used 97% of its bandwidth quota last month.
jcsveiculos.com.br,162.214.206.251,jcsve190,assistencia@litoralcar.com.br,2020-09-23 09:24,home,800,97,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1600863847,100059,819200,,,,,
jlmautomoveis.com.br,162.214.206.251,jlmau635,assistencia@litoralcar.com.br,2023-04-10 16:58,home,500,40,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1681156698,41748,512000,,,,,
joaopradaautomoveis.com.br,162.214.206.251,joaop347,assistencia@litoralcar.com.br,2021-02-12 14:44,home,500,88,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1613151858,90687,512000,,,,,
jocarautomoveis.com,162.214.206.251,jocarautomoveis,assistencia@litoralcar.com.br,2021-01-18 15:15,home,500,51,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1610993719,52392,512000,,,,,
k2motos.com.br,162.214.206.251,k2motosc,assistencia@litoralcar.com.br,2014-11-11 08:35,home,1000,527,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1415702142,540187,1024000,,,,,
leomarautomoveis.com.br,162.214.206.251,leoma322,assistencia@litoralcar.com.br,2021-09-14 17:02,home,500,78,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1631649777,79943,512000,,,,,
lidermultimarcasjlle.com.br,162.214.206.251,lider449,assistencia@litoralcar.com.br,2021-03-23 09:20,home,250,59,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1616502041,60658,256000,1,2023-12-01 11:44,,Financeiro ,
limaautomoveis.com.br,162.214.206.251,limaauto,assistencia@litoralcar.com.br,2021-02-18 10:22,home,1000,108,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1613654521,111590,1024000,,,,,
litoralcar.com.br,162.214.206.251,litoral,assistencia@litoralcar.com.br,2014-01-06 11:18,home,50,11,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1389014308,11748,51200,,,,,
litoralveiculos.com,162.214.206.251,litoralveiculos,assistencia@litoralcar.com.br,2021-01-28 16:39,home,1000,177,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1611862780,181379,1024000,,,,,
lyanmultimarcas.com.br,162.214.206.251,lyanm790,assistencia@litoralcar.com.br,2021-08-16 09:19,home,500,61,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1629116382,62519,512000,1,2023-10-02 15:15,,Financeiro,
macarmultimarcas.com.br,162.214.206.251,macarmultimarcas,assistencia@litoralcar.com.br,2021-01-13 15:44,home,1093,684,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1610563492,700650,1119232,,,,,
madriautomoveis.com.br,162.214.206.251,madriaut,assistencia@litoralcar.com.br,2014-07-21 14:45,home,500,109,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1405964754,111707,512000,,,,,
maguinhoautomoveis.com.br,162.214.206.251,magui222,assistencia@litoralcar.com.br,2021-03-23 14:21,home,250,44,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1616520068,45584,256000,,,,,
mannesautomoveis.com.br,162.214.206.251,mannes,assistencia@litoralcar.com.br,2021-04-20 10:15,home,200,162,crici470_200MB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1618924500,166804,204800,,,,,This account exceeded its bandwidth quota last month. This account has used 81% of its disk quota.
mateusautomoveis.com.br,162.214.206.251,mateu338,assistencia@litoralcar.com.br,2021-09-20 11:26,home,500,50,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1632147974,51465,512000,,,,,
maxcarmultimarcas.com.br,162.214.206.251,maxcarmultimarca,assistencia@litoralcar.com.br,2021-02-23 15:18,home,1000,483,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1614104333,494627,1024000,,,,,
mcveiculos.com.br,162.214.206.251,mcvei723,assistencia@litoralcar.com.br,2023-01-18 09:03,home,1000,245,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1674043424,251274,1024000,,,,,
mellosautomoveis.com.br,162.214.206.251,mellosautomoveis,assistencia@litoralcar.com.br,2021-07-21 09:41,home,1500,546,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1626871311,559628,1536000,,,,,This account used 75% of its bandwidth quota last month.
mendesveiculos.com.br,162.214.206.251,mendesve,assistencia@litoralcar.com.br,2021-07-21 09:05,home,1000,438,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1626869143,448611,1024000,,,,,
mercadosc.com.br,162.214.206.251,mercado,assistencia@litoralcar.com.br,2021-08-05 09:15,home,25000,3993,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1628165732,4089178,25600000,,,,,This account has used 80% of the block count (5120000).
mercerveiculos.com.br,162.214.206.251,mercer,assistencia@litoralcar.com.br,2018-11-06 13:42,home,4000,2525,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1541518948,2585782,4096000,,,,,
mgsmultimarcas.com,162.214.206.251,mgsmu798,assistencia@litoralcar.com.br,2023-01-24 16:01,home,1000,71,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1674586905,72963,1024000,,,,,
mkarveiculos.com.br,162.214.206.251,mkarveic,assistencia@litoralcar.com.br,2014-01-07 11:32,home,800,232,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1389101538,237983,819200,,,,,
mmselectcar.com.br,162.214.206.251,mmsel793,assistencia@litoralcar.com.br,2023-01-11 10:36,home,500,43,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1673444199,44403,512000,1,2023-12-01 11:48,,Financeiro,
msconcretos.com.br,162.214.206.251,msconcretoscom,assistencia@litoralcar.com.br,2019-10-18 09:53,home,1500,1087,undefined,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1571403229,1113914,1536000,,,,,
multiautocamionetes.com.br,162.214.206.251,multiete,assistencia@litoralcar.com.br,2014-07-18 08:59,home,800,132,crici470_500MB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1405684799,135905,819200,,,,,
multisupply.com.br,162.214.206.251,multisup,assistencia@litoralcar.com.br,2013-09-11 11:24,home,1000,968,crici470_5GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1378909469,991656,1024000,,,,,This account has used 97% of its disk quota.
nivacarveiculos.com.br,162.214.206.251,nivacar,assistencia@litoralcar.com.br,2021-02-23 15:44,home,1000,155,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1614105842,159572,1024000,,,,,
paddockautocenter.com.br,162.214.206.251,paddocka,jeronimo@litoralcar.com.br,2021-01-26 11:01,home,1000,999,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1611669665,1023604,1024000,,,,,This account has reached its disk quota.
pinheiraoautomoveis.com.br,162.214.206.251,pinhe617,assistencia@litoralcar.com.br,2023-01-19 15:20,home,1000,68,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1674152414,70623,1024000,,,,,
pityautomoveis.com.br,162.214.206.251,pityautomoveisco,assistencia@litoralcar.com.br,2021-02-03 13:46,home,200,104,crici470_200MB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612370787,107137,204800,,,,,
platinamultimarcas.com.br,162.214.206.251,platinamultimarc,assistencia@litoralcar.com.br,2020-03-05 10:20,home,1000,94,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1583414420,96381,1024000,,,,,
pointcarsc.com.br,162.214.206.251,pointcarsccom,assistencia@litoralcar.com.br,2019-12-18 08:19,home,1000,72,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1576667942,74005,1024000,,,,,
portalveiculospenha.com.br,162.214.206.251,porta836,assistencia@litoralcar.com.br,2021-09-20 11:05,home,500,47,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1632146744,49089,512000,,,,,
portoveiculosmultimarcas.com.br,162.214.206.251,portovei,assistencia@litoralcar.com.br,2021-02-23 15:50,home,1000,70,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1614106203,72212,1024000,,,,,
prettycarveiculos.com.br,162.214.206.251,pretty,assistencia@litoralcar.com.br,2021-02-01 09:16,home,1000,189,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612181779,194045,1024000,,,,,
promocarveiculos.com.br,162.214.206.251,promocarveiculos,assistencia@litoralcar.com.br,2019-12-17 16:51,home,1000,162,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1576612314,165888,1024000,,,,,
q3motors.com.br,162.214.206.251,qmoto923,assistencia@litoralcar.com.br,2021-08-18 16:17,home,500,62,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1629314268,63901,512000,,,,,
ralymultimarcas.com.br,162.214.206.251,ralymult,assistencia@litoralcar.com.br,2021-04-13 14:54,home,250,59,crici470_5GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1618336486,61424,256000,,,,,
reautomultimarcas.com.br,162.214.206.251,reautomultimarca,assistencia@litoralcar.com.br,2021-01-29 14:56,home,1000,129,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1611942967,132344,1024000,,,,,
remotorsfloripa.com.br,162.214.206.251,remot537,assistencia@litoralcar.com.br,2022-08-24 08:26,home,1000,94,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1661340392,97017,1024000,,,,,
rmveiculoss.com.br,162.214.206.251,rmvei657,assistencia@litoralcar.com.br,2022-11-23 16:00,home,500,51,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1669230055,52476,512000,,,,,
rodrigoautocar.com.br,162.214.206.251,rodri412,assistencia@litoralcar.com.br,2021-08-30 16:28,home,500,308,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1630351704,316366,512000,,,,,This account exceeded its bandwidth quota last month.
rotasulmultimarcas.com.br,162.214.206.251,rotas863,assistencia@litoralcar.com.br,2021-02-24 08:39,home,1000,88,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1614166769,90355,1024000,,,,,
rrautomoveissc.com.br,162.214.206.251,rraut651,assistencia@litoralcar.com.br,2022-10-25 16:19,home,500,52,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1666725574,53306,512000,,,,,
santinhoautomoveis.com.br,162.214.206.251,santiaut,assistencia@litoralcar.com.br,2021-02-10 16:15,home,1000,277,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1612984513,284236,1024000,,,,,
sgiveiculos.com.br,162.214.206.251,sgiveicu,assistencia@litoralcar.com.br,2021-07-20 15:04,home,50,13,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1626804290,14300,51200,,,,,
sidcarautomoveis.com.br,162.214.206.251,sidca877,assistencia@litoralcar.com.br,2022-09-15 17:08,home,1000,68,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1663272488,70600,1024000,,,,,This account used 76% of its bandwidth quota last month.
sigveiculos.com.br,162.214.206.251,sigveicu,assistencia@litoralcar.com.br,2021-07-20 14:47,home,250,60,crici470_1GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1626803225,61720,256000,,,,,
simasautomoveis.com.br,162.214.206.251,simasautomoveisc,assistencia@litoralcar.com.br,2021-02-22 13:56,home,5000,4096,crici470_10GB,jupiter,crici470,dedi-10414352.criciumaautos.com.br,1614012964,4194554,5120000,,,,,This account has used 82% of its disk quota. This account has used 82% of the block count (5120000).
